en,es,
Work Disability Functional Assessment Battery,Batería de evaluación funcional de discapacidad laboral,Anchor Item
Basic Mobility,Movilidad básica,
Communication & Cognition,Comunicación y cognición,
Community Mobility,Movilidad comunitaria,
Fine Motor Function,Motricidad fina,
Mood & Emotions,Estado de ánimo y emociones,
Resilience & Sociability,Resiliencia y sociabilidad,
Self-Regulation,Autorregulación,
Upper Body Function,Función del tren superior,
Wheelchair,Silla de ruedas,
Are you able figure out the correct price for something that is on sale? For example 25% off.,"¿Puede calcular el precio correcto de algo que está en oferta? Por ejemplo, si tiene un 25 % de descuento.",
Are you able pull a small suitcase by the handle?,¿Puede llevar una maleta pequeña por el asa?,
Are you able to  lift a 2 liter soda bottle from the floor to a high shelf? A 2 liter soda bottle=3.5lbs/1.5kg.,"¿Puede levantar una botella de refresco de 2 litros del piso a un estante alto? Una botella de refresco de 2 litros equivale a 1,5 kg o 3,5 lb.",
Are you able to address an envelope with a pen?,¿Puede poner la dirección en un sobre con un bolígrafo?,
Are you able to adjust to a new situation or change?,¿Puede adaptarse a nuevas situaciones o cambios?,
Are you able to ask for help from others when difficult problems come up?,¿Puede pedir ayuda a otras personas cuando surgen problemas difíciles?,
Are you able to back out of a driveway?,¿Puede retroceder para salir de una entrada de vehículos?,
Are you able to bend down to pick up clothing from the floor?,¿Puede agacharse para recoger ropa del piso?,
Are you able to bend over from a sitting position to pick up an object you dropped on the floor?,"Cuando está sentado, ¿puede agacharse para recoger un objeto que se le ha caído al piso?",
Are you able to bend over to pick up coins that are scattered on the floor?,¿Puede agacharse para recoger monedas esparcidas por el piso?,Physical
Are you able to bend to look under a car?,¿Puede agacharse para mirar debajo de un auto?,Physical
"Are you able to buckle a strap (e.g. on a bicycle helmet, child's car seat, or backpack)?","¿Puede abrochar una correa (por ejemplo, de un casco de bicicleta, una mochila o el asiento para niños de un auto)?",
Are you able to button your shirt?,¿Puede abotonarse la camisa?,
Are you able to carry a full kitchen trash bag outside?,¿Puede llevar afuera una bolsa llena de basura de la cocina?,Physical
Are you able to carry a full large (check-in size) suitcase for 30 feet? Hint: A full large suitcase weighs 40-50 pounds/18-23 kg.,¿Puede transportar una maleta grande (tamaño de equipaje que se despacha) llena 9 metros/30 pies? Ayuda: Una maleta grande llena pesa entre 18 y 23 kg (entre 40 y 50 libras).,
Are you able to carry a full laundry basket for 30 feet?,¿Puede transportar 9 metros/30 pies una cesta llena de ropa para lavar?,Physical
Are you able to carry a full laundry basket up a flight of stairs? Hint: A flight of stairs is 12-15 steps.,¿Puede subir un tramo de escaleras con una cesta llena de ropa para lavar? Ayuda: Un tramo de escaleras tiene entre 12 y 15 escalones.,
Are you able to carry a full paper grocery bag for 30 feet?,¿Puede transportar 9 metros/30 pies una bolsa de compras de papel llena?,
Are you able to carry a full plastic shopping bag for 30 feet?,¿Puede transportar 9 metros/30 pies una bolsa de compras de plástico llena?,
Are you able to carry a full small (carry-on size) suitcase for 30 feet? Hint: A full carry-on suitcase weighs 20 pounds/8 kg.,¿Puede transportar 9 metros/30 pies una maleta pequeña (de mano) llena? Ayuda: Una maleta de mano llena pesa 8 kg/20 libras.,Physical
Are you able to change the bulb in a table lamp?,¿Puede cambiar la bombilla de una lámpara de mesa?,
Are you able to check that your bills are correct?,¿Puede revisar si sus facturas tienen errores?,Mental
Are you able to clean a floor using a mop?,¿Puede limpiar el piso con un trapeador?,
Are you able to clean out a closet?,¿Puede limpiar un armario?,
Are you able to climb 2 or 3 steps up a step ladder?,¿Puede subir 2 o 3 escalones de una escalerilla?,
Are you able to close a twist tie on a bag of bread?,¿Puede cerrar el plastinudo de una bolsa de pan?,Physical
Are you able to close a zip lock bag?,¿Puede cerrar una bolsa tipo Ziploc?,
Are you able to crawl under a table to pick up something you dropped?,¿Puede meterse debajo de una mesa para recoger algo que se le haya caído?,Physical
Are you able to cross the street at a traffic light in your wheelchair?,¿Puede cruzar la calle con su silla de ruedas donde haya un semáforo?,Physical_WC
Are you able to cut a piece of paper with scissors?,¿Puede cortar un trozo de papel con tijeras?,
Are you able to discuss your ideas with others?,¿Puede conversar sobre sus ideas con otras personas?,
"Are you able to do heavy housework? For example scrubbing floors, washing windows, moving furniture to clean.","¿Puede hacer tareas domésticas exigentes? Por ejemplo, fregar pisos, limpiar ventanas, mover muebles para limpiarlos.",
Are you able to do two things at once?,¿Puede hacer dos cosas a la vez?,
Are you able to do yard work (e.g. plant shrubs or a garden) for 2 hours? For example: With occasional rest but continuous work.,"¿Puede hacer trabajos de jardinería (p. ej., plantar arbustos o trabajar en el jardín) durante 2 horas? Por ejemplo: Con descanso ocasional pero trabajo continuo.",
Are you able to do your regular chores?,¿Puede hacer sus quehaceres habituales?,
Are you able to drive at night?,¿Puede conducir de noche?,
Are you able to drive in heavy traffic?,¿Puede conducir cuando hay mucho tránsito?,Physical
Are you able to drive in the rain?,¿Puede conducir cuando llueve?,Physical
Are you able to drive in your own neighborhood?,¿Puede conducir en su propio vecindario?,Physical
Are you able to figure out why a joke is funny?,¿Puede entender por qué un chiste es gracioso?,
Are you able to fill out applications?,¿Puede llenar formularios de solicitud?,
Are you able to find your way around in familiar places?,¿Puede orientarse en lugares conocidos?,
Are you able to find your way around in unfamiliar places?,¿Puede orientarse en lugares desconocidos?,
Are you able to finish things that you start?,¿Puede terminar las cosas que empezó a hacer?,
Are you able to finish things within a reasonable amount of time?,¿Puede terminar las cosas en un tiempo razonable?,
